Animation,Rendering job (geometry),Instance type (geometry),Rendering job (pre),Instance type (pre),Rendering job (final),Instance type (final),Scene type,Notes,Any good views of scene?
ai_001_010_cam_02,ai_001_010@scene_cam_02_geometry,large,ai_001_010@scene_cam_02_pre,2xlarge,ai_001_010@scene_cam_02_final,9xlarge,Kitchen,,
ai_002_001_cam_00,ai_002_001@scene_cam_00_geometry,large,ai_002_001@scene_cam_00_pre,2xlarge,ai_002_001@scene_cam_00_final,9xlarge,Living room,,
ai_002_002_cam_00,ai_002_002@scene_cam_00_geometry,large,ai_002_002@scene_cam_00_pre,2xlarge,ai_002_002@scene_cam_00_final,9xlarge,Living room,,
ai_002_003_cam_00,ai_002_003@scene_cam_00_geometry,large,ai_002_003@scene_cam_00_pre,2xlarge,ai_002_003@scene_cam_00_final,9xlarge,Living room,,
ai_002_004_cam_00,ai_002_004@scene_cam_00_geometry,large,ai_002_004@scene_cam_00_pre,2xlarge,ai_002_004@scene_cam_00_final,9xlarge,Kitchen,,
ai_002_005_cam_00,ai_002_005@scene_cam_00_geometry,large,ai_002_005@scene_cam_00_pre,2xlarge,ai_002_005@scene_cam_00_final,9xlarge,Kitchen,,
ai_002_006_cam_00,ai_002_006@scene_cam_00_geometry,large,ai_002_006@scene_cam_00_pre,2xlarge,ai_002_006@scene_cam_00_final,9xlarge,Kitchen,,
ai_002_007_cam_00,ai_002_007@scene_cam_00_geometry,large,ai_002_007@scene_cam_00_pre,2xlarge,ai_002_007@scene_cam_00_final,9xlarge,Other,Hallway (outdoor; weird),
ai_002_008_cam_00,ai_002_008@scene_cam_00_geometry,large,ai_002_008@scene_cam_00_pre,2xlarge,ai_002_008@scene_cam_00_final,9xlarge,Other,Bathroom (weird),
ai_002_009_cam_00,ai_002_009@scene_cam_00_geometry,large,ai_002_009@scene_cam_00_pre,2xlarge,ai_002_009@scene_cam_00_final,9xlarge,Bedroom,,
ai_002_010_cam_00,ai_002_010@scene_cam_00_geometry,large,ai_002_010@scene_cam_00_pre,2xlarge,ai_002_010@scene_cam_00_final,9xlarge,Other,Retail space (weird),
ai_003_001_cam_00,ai_003_001@scene_cam_00_geometry,large,ai_003_001@scene_cam_00_pre,2xlarge,ai_003_001@scene_cam_00_final,9xlarge,Bathroom,,
ai_003_001_cam_01,ai_003_001@scene_cam_01_geometry,large,ai_003_001@scene_cam_01_pre,2xlarge,ai_003_001@scene_cam_01_final,9xlarge,Bathroom,,
ai_003_002_cam_00,ai_003_002@scene_cam_00_geometry,large,ai_003_002@scene_cam_00_pre,2xlarge,ai_003_002@scene_cam_00_final,9xlarge,Living room,,
ai_003_002_cam_01,ai_003_002@scene_cam_01_geometry,large,ai_003_002@scene_cam_01_pre,2xlarge,ai_003_002@scene_cam_01_final,9xlarge,Living room,,
ai_003_003_cam_00,ai_003_003@scene_cam_00_geometry,large,ai_003_003@scene_cam_00_pre,2xlarge,ai_003_003@scene_cam_00_final,9xlarge,Living room,Copyrighted material (image on TV; poster on wall),
ai_003_003_cam_01,ai_003_003@scene_cam_01_geometry,large,ai_003_003@scene_cam_01_pre,2xlarge,ai_003_003@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_003_004_cam_00,ai_003_004@scene_cam_00_geometry,large,ai_003_004@scene_cam_00_pre,2xlarge,ai_003_004@scene_cam_00_final,9xlarge,Bedroom,,
ai_003_004_cam_01,ai_003_004@scene_cam_01_geometry,large,ai_003_004@scene_cam_01_pre,2xlarge,ai_003_004@scene_cam_01_final,9xlarge,Bedroom,,
ai_003_005_cam_00,ai_003_005@scene_cam_00_geometry,large,ai_003_005@scene_cam_00_pre,2xlarge,ai_003_005@scene_cam_00_final,9xlarge,Other,Pool (indoor),
ai_003_005_cam_01,ai_003_005@scene_cam_01_geometry,large,ai_003_005@scene_cam_01_pre,2xlarge,ai_003_005@scene_cam_01_final,9xlarge,Other,Pool (indoor),
ai_003_006_cam_00,ai_003_006@scene_cam_00_geometry,large,ai_003_006@scene_cam_00_pre,2xlarge,ai_003_006@scene_cam_00_final,9xlarge,Kitchen,,
ai_003_006_cam_01,ai_003_006@scene_cam_01_geometry,large,ai_003_006@scene_cam_01_pre,2xlarge,ai_003_006@scene_cam_01_final,9xlarge,Kitchen,,
ai_003_007_cam_00,ai_003_007@scene_cam_00_geometry,large,ai_003_007@scene_cam_00_pre,2xlarge,ai_003_007@scene_cam_00_final,9xlarge,Staircase,,
ai_003_007_cam_01,ai_003_007@scene_cam_01_geometry,large,ai_003_007@scene_cam_01_pre,2xlarge,ai_003_007@scene_cam_01_final,9xlarge,Staircase,,
ai_003_008_cam_00,ai_003_008@scene_cam_00_geometry,large,ai_003_008@scene_cam_00_pre,2xlarge,ai_003_008@scene_cam_00_final,9xlarge,Other,Lounge (indoor),
ai_003_008_cam_01,ai_003_008@scene_cam_01_geometry,large,ai_003_008@scene_cam_01_pre,2xlarge,ai_003_008@scene_cam_01_final,9xlarge,Other,Lounge (indoor),
ai_003_009_cam_00,ai_003_009@scene_cam_00_geometry,large,ai_003_009@scene_cam_00_pre,2xlarge,ai_003_009@scene_cam_00_final,9xlarge,Office,,
ai_003_009_cam_01,ai_003_009@scene_cam_01_geometry,large,ai_003_009@scene_cam_01_pre,2xlarge,ai_003_009@scene_cam_01_final,9xlarge,Office,,
ai_003_010_cam_00,ai_003_010@scene_cam_00_geometry,large,ai_003_010@scene_cam_00_pre,2xlarge,ai_003_010@scene_cam_00_final,9xlarge,Living room,,
ai_003_010_cam_01,ai_003_010@scene_cam_01_geometry,large,ai_003_010@scene_cam_01_pre,2xlarge,ai_003_010@scene_cam_01_final,9xlarge,Living room,,
ai_004_001_cam_00,ai_004_001@scene_cam_00_geometry,large,ai_004_001@scene_cam_00_pre,2xlarge,ai_004_001@scene_cam_00_final,9xlarge,Bathroom,,
ai_004_001_cam_01,ai_004_001@scene_cam_01_geometry,large,ai_004_001@scene_cam_01_pre,2xlarge,ai_004_001@scene_cam_01_final,9xlarge,Bathroom,,
ai_004_002_cam_00,ai_004_002@scene_cam_00_geometry,large,ai_004_002@scene_cam_00_pre,2xlarge,ai_004_002@scene_cam_00_final,9xlarge,Living room,,
ai_004_002_cam_01,ai_004_002@scene_cam_01_geometry,large,ai_004_002@scene_cam_01_pre,2xlarge,ai_004_002@scene_cam_01_final,9xlarge,Living room,,
ai_004_003_cam_00,ai_004_003@scene_cam_00_geometry,large,ai_004_003@scene_cam_00_pre,2xlarge,ai_004_003@scene_cam_00_final,9xlarge,Bathroom,,
ai_004_003_cam_01,ai_004_003@scene_cam_01_geometry,large,ai_004_003@scene_cam_01_pre,2xlarge,ai_004_003@scene_cam_01_final,9xlarge,Bathroom,,
ai_004_004_cam_00,ai_004_004@scene_cam_00_geometry,large,ai_004_004@scene_cam_00_pre,2xlarge,ai_004_004@scene_cam_00_final,9xlarge,Living room,,
ai_004_004_cam_01,ai_004_004@scene_cam_01_geometry,large,ai_004_004@scene_cam_01_pre,2xlarge,ai_004_004@scene_cam_01_final,9xlarge,Living room,,
ai_004_005_cam_00,ai_004_005@scene_cam_00_geometry,large,ai_004_005@scene_cam_00_pre,2xlarge,ai_004_005@scene_cam_00_final,9xlarge,Bedroom,,
ai_004_005_cam_01,ai_004_005@scene_cam_01_geometry,large,ai_004_005@scene_cam_01_pre,2xlarge,ai_004_005@scene_cam_01_final,9xlarge,Bedroom,,
ai_004_006_cam_00,ai_004_006@scene_cam_00_geometry,large,ai_004_006@scene_cam_00_pre,2xlarge,ai_004_006@scene_cam_00_final,9xlarge,Living room,,
ai_004_006_cam_01,ai_004_006@scene_cam_01_geometry,large,ai_004_006@scene_cam_01_pre,2xlarge,ai_004_006@scene_cam_01_final,9xlarge,Living room,,
ai_004_007_cam_00,ai_004_007@scene_cam_00_geometry,large,ai_004_007@scene_cam_00_pre,2xlarge,ai_004_007@scene_cam_00_final,9xlarge,Bathroom,,
ai_004_007_cam_01,ai_004_007@scene_cam_01_geometry,large,ai_004_007@scene_cam_01_pre,2xlarge,ai_004_007@scene_cam_01_final,9xlarge,Bathroom,,
ai_004_008_cam_00,ai_004_008@scene_cam_00_geometry,large,ai_004_008@scene_cam_00_pre,2xlarge,ai_004_008@scene_cam_00_final,9xlarge,Kitchen,,
ai_004_008_cam_01,ai_004_008@scene_cam_01_geometry,large,ai_004_008@scene_cam_01_pre,2xlarge,ai_004_008@scene_cam_01_final,9xlarge,Kitchen,,
ai_004_009_cam_00,ai_004_009@scene_cam_00_geometry,large,ai_004_009@scene_cam_00_pre,2xlarge,ai_004_009@scene_cam_00_final,9xlarge,Bedroom,,
ai_004_009_cam_01,ai_004_009@scene_cam_01_geometry,large,ai_004_009@scene_cam_01_pre,2xlarge,ai_004_009@scene_cam_01_final,9xlarge,Bedroom,,
ai_004_010_cam_00,ai_004_010@scene_cam_00_geometry,large,ai_004_010@scene_cam_00_pre,2xlarge,ai_004_010@scene_cam_00_final,9xlarge,Living room,,
ai_004_010_cam_01,ai_004_010@scene_cam_01_geometry,large,ai_004_010@scene_cam_01_pre,2xlarge,ai_004_010@scene_cam_01_final,9xlarge,Living room,,
ai_005_001_cam_00,ai_005_001@scene_cam_00_geometry,large,ai_005_001@scene_cam_00_pre,2xlarge,ai_005_001@scene_cam_00_final,9xlarge,Other,Church,
ai_005_003_cam_00,ai_005_003@scene_cam_00_geometry,large,ai_005_003@scene_cam_00_pre,2xlarge,ai_005_003@scene_cam_00_final,9xlarge,Office (building foyer),,
ai_005_004_cam_00,ai_005_004@scene_cam_00_geometry,large,ai_005_004@scene_cam_00_pre,2xlarge,ai_005_004@scene_cam_00_final,9xlarge,Living room,,
ai_005_005_cam_00,ai_005_005@scene_cam_00_geometry,large,ai_005_005@scene_cam_00_pre,2xlarge,ai_005_005@scene_cam_00_final,9xlarge,Retail space,Retail space (weird),
ai_005_006_cam_00,ai_005_006@scene_cam_00_geometry,large,ai_005_006@scene_cam_00_pre,2xlarge,ai_005_006@scene_cam_00_final,9xlarge,Living room,,
ai_005_007_cam_00,ai_005_007@scene_cam_00_geometry,large,ai_005_007@scene_cam_00_pre,2xlarge,ai_005_007@scene_cam_00_final,9xlarge,Living room,,
ai_005_008_cam_00,ai_005_008@scene_cam_00_geometry,large,ai_005_008@scene_cam_00_pre,2xlarge,ai_005_008@scene_cam_00_final,9xlarge,Living room,,
ai_005_009_cam_00,ai_005_009@scene_cam_00_geometry,large,ai_005_009@scene_cam_00_pre,2xlarge,ai_005_009@scene_cam_00_final,9xlarge,Office (building foyer),,
ai_005_010_cam_00,ai_005_010@scene_cam_00_geometry,large,ai_005_010@scene_cam_00_pre,2xlarge,ai_005_010@scene_cam_00_final,9xlarge,Dining room,,
ai_006_001_cam_00,ai_006_001@scene_cam_00_geometry,large,ai_006_001@scene_cam_00_pre,2xlarge,ai_006_001@scene_cam_00_final,9xlarge,Other,Living room (Asian),
ai_006_001_cam_01,ai_006_001@scene_cam_01_geometry,large,ai_006_001@scene_cam_01_pre,2xlarge,ai_006_001@scene_cam_01_final,9xlarge,Other,Living room (Asian),
ai_006_002_cam_00,ai_006_002@scene_cam_00_geometry,large,ai_006_002@scene_cam_00_pre,2xlarge,ai_006_002@scene_cam_00_final,9xlarge,Restaurant,,
ai_006_002_cam_01,ai_006_002@scene_cam_01_geometry,large,ai_006_002@scene_cam_01_pre,2xlarge,ai_006_002@scene_cam_01_final,9xlarge,Restaurant,,
ai_006_002_cam_02,ai_006_002@scene_cam_02_geometry,large,ai_006_002@scene_cam_02_pre,2xlarge,ai_006_002@scene_cam_02_final,9xlarge,Restaurant,,
ai_006_003_cam_00,ai_006_003@scene_cam_00_geometry,large,ai_006_003@scene_cam_00_pre,2xlarge,ai_006_003@scene_cam_00_final,9xlarge,Living room,,
ai_006_004_cam_00,ai_006_004@scene_cam_00_geometry,large,ai_006_004@scene_cam_00_pre,2xlarge,ai_006_004@scene_cam_00_final,9xlarge,Living room,,
ai_006_006_cam_00,ai_006_006@scene_cam_00_geometry,large,ai_006_006@scene_cam_00_pre,2xlarge,ai_006_006@scene_cam_00_final,9xlarge,Office (waiting area),,
ai_006_006_cam_01,ai_006_006@scene_cam_01_geometry,large,ai_006_006@scene_cam_01_pre,2xlarge,ai_006_006@scene_cam_01_final,9xlarge,Office (waiting area),,
ai_006_006_cam_02,ai_006_006@scene_cam_02_geometry,large,ai_006_006@scene_cam_02_pre,2xlarge,ai_006_006@scene_cam_02_final,9xlarge,Office (waiting area),,
ai_006_007_cam_00,ai_006_007@scene_cam_00_geometry,large,ai_006_007@scene_cam_00_pre,2xlarge,ai_006_007@scene_cam_00_final,9xlarge,Bedroom,,
ai_006_008_cam_00,ai_006_008@scene_cam_00_geometry,large,ai_006_008@scene_cam_00_pre,2xlarge,ai_006_008@scene_cam_00_final,9xlarge,Bedroom,,
ai_006_009_cam_00,ai_006_009@scene_cam_00_geometry,large,ai_006_009@scene_cam_00_pre,2xlarge,ai_006_009@scene_cam_00_final,9xlarge,Living room,,
ai_006_009_cam_01,ai_006_009@scene_cam_01_geometry,large,ai_006_009@scene_cam_01_pre,2xlarge,ai_006_009@scene_cam_01_final,9xlarge,Living room,,
ai_006_009_cam_02,ai_006_009@scene_cam_02_geometry,large,ai_006_009@scene_cam_02_pre,2xlarge,ai_006_009@scene_cam_02_final,9xlarge,Living room,,
ai_006_010_cam_00,ai_006_010@scene_cam_00_geometry,large,ai_006_010@scene_cam_00_pre,2xlarge,ai_006_010@scene_cam_00_final,9xlarge,Kitchen,,
ai_006_010_cam_01,ai_006_010@scene_cam_01_geometry,large,ai_006_010@scene_cam_01_pre,2xlarge,ai_006_010@scene_cam_01_final,9xlarge,Kitchen,,
ai_006_010_cam_02,ai_006_010@scene_cam_02_geometry,large,ai_006_010@scene_cam_02_pre,2xlarge,ai_006_010@scene_cam_02_final,9xlarge,Kitchen,,
ai_007_001_cam_00,ai_007_001@scene_cam_00_geometry,large,ai_007_001@scene_cam_00_pre,2xlarge,ai_007_001@scene_cam_00_final,9xlarge,Bedroom,,
ai_007_001_cam_01,ai_007_001@scene_cam_01_geometry,large,ai_007_001@scene_cam_01_pre,2xlarge,ai_007_001@scene_cam_01_final,9xlarge,Bedroom,, 
ai_007_002_cam_00,ai_007_002@scene_cam_00_geometry,large,ai_007_002@scene_cam_00_pre,2xlarge,ai_007_002@scene_cam_00_final,9xlarge,Dining room,,
ai_007_002_cam_01,ai_007_002@scene_cam_01_geometry,large,ai_007_002@scene_cam_01_pre,2xlarge,ai_007_002@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_007_004_cam_00,ai_007_004@scene_cam_00_geometry,large,ai_007_004@scene_cam_00_pre,2xlarge,ai_007_004@scene_cam_00_final,9xlarge,Bathroom,,
ai_007_004_cam_02,ai_007_004@scene_cam_02_geometry,large,ai_007_004@scene_cam_02_pre,2xlarge,ai_007_004@scene_cam_02_final,9xlarge,Bathroom,,
ai_007_004_cam_03,ai_007_004@scene_cam_03_geometry,large,ai_007_004@scene_cam_03_pre,2xlarge,ai_007_004@scene_cam_03_final,9xlarge,Bathroom,,
ai_007_005_cam_00,ai_007_005@scene_cam_00_geometry,large,ai_007_005@scene_cam_00_pre,2xlarge,ai_007_005@scene_cam_00_final,9xlarge,Bathroom,,
ai_007_005_cam_01,ai_007_005@scene_cam_01_geometry,large,ai_007_005@scene_cam_01_pre,2xlarge,ai_007_005@scene_cam_01_final,9xlarge,Bathroom,,
ai_007_006_cam_00,ai_007_006@scene_cam_00_geometry,large,ai_007_006@scene_cam_00_pre,2xlarge,ai_007_006@scene_cam_00_final,9xlarge,Living room,,
ai_007_006_cam_01,ai_007_006@scene_cam_01_geometry,large,ai_007_006@scene_cam_01_pre,2xlarge,ai_007_006@scene_cam_01_final,9xlarge,Living room,,
ai_007_007_cam_00,ai_007_007@scene_cam_00_geometry,large,ai_007_007@scene_cam_00_pre,2xlarge,ai_007_007@scene_cam_00_final,9xlarge,Living room,,
ai_007_007_cam_01,ai_007_007@scene_cam_01_geometry,large,ai_007_007@scene_cam_01_pre,2xlarge,ai_007_007@scene_cam_01_final,9xlarge,Living room,,
ai_007_008_cam_00,ai_007_008@scene_cam_00_geometry,large,ai_007_008@scene_cam_00_pre,2xlarge,ai_007_008@scene_cam_00_final,9xlarge,Bedroom,,
ai_007_008_cam_01,ai_007_008@scene_cam_01_geometry,large,ai_007_008@scene_cam_01_pre,2xlarge,ai_007_008@scene_cam_01_final,9xlarge,Bedroom,,
ai_007_009_cam_00,ai_007_009@scene_cam_00_geometry,large,ai_007_009@scene_cam_00_pre,2xlarge,ai_007_009@scene_cam_00_final,9xlarge,Living room,,
ai_007_009_cam_01,ai_007_009@scene_cam_01_geometry,large,ai_007_009@scene_cam_01_pre,2xlarge,ai_007_009@scene_cam_01_final,9xlarge,Living room,,
ai_007_010_cam_00,ai_007_010@scene_cam_00_geometry,large,ai_007_010@scene_cam_00_pre,2xlarge,ai_007_010@scene_cam_00_final,9xlarge,Bathroom,,
ai_007_010_cam_01,ai_007_010@scene_cam_01_geometry,large,ai_007_010@scene_cam_01_pre,2xlarge,ai_007_010@scene_cam_01_final,9xlarge,Bathroom,,
ai_008_001_cam_00,ai_008_001@scene_cam_00_geometry,large,ai_008_001@scene_cam_00_pre,2xlarge,ai_008_001@scene_cam_00_final,9xlarge,Office (home),,
ai_008_001_cam_01,ai_008_001@scene_cam_01_geometry,large,ai_008_001@scene_cam_01_pre,2xlarge,ai_008_001@scene_cam_01_final,9xlarge,Office (home),,
ai_008_001_cam_02,ai_008_001@scene_cam_02_geometry,large,ai_008_001@scene_cam_02_pre,2xlarge,ai_008_001@scene_cam_02_final,9xlarge,Office (home),,
ai_008_001_cam_03,ai_008_001@scene_cam_03_geometry,large,ai_008_001@scene_cam_03_pre,2xlarge,ai_008_001@scene_cam_03_final,9xlarge,Office (home),,
ai_008_002_cam_00,ai_008_002@scene_cam_00_geometry,large,ai_008_002@scene_cam_00_pre,2xlarge,ai_008_002@scene_cam_00_final,9xlarge,Kitchen,,
ai_008_002_cam_01,ai_008_002@scene_cam_01_geometry,large,ai_008_002@scene_cam_01_pre,2xlarge,ai_008_002@scene_cam_01_final,9xlarge,Kitchen,,
ai_008_003_cam_00,ai_008_003@scene_cam_00_geometry,large,ai_008_003@scene_cam_00_pre,2xlarge,ai_008_003@scene_cam_00_final,9xlarge,Living room,,
ai_008_003_cam_01,ai_008_003@scene_cam_01_geometry,large,ai_008_003@scene_cam_01_pre,2xlarge,ai_008_003@scene_cam_01_final,9xlarge,Living room,,
ai_008_004_cam_00,ai_008_004@scene_cam_00_geometry,large,ai_008_004@scene_cam_00_pre,2xlarge,ai_008_004@scene_cam_00_final,9xlarge,Dining room,,
ai_008_004_cam_01,ai_008_004@scene_cam_01_geometry,large,ai_008_004@scene_cam_01_pre,2xlarge,ai_008_004@scene_cam_01_final,9xlarge,Dining room,,
ai_008_005_cam_00,ai_008_005@scene_cam_00_geometry,large,ai_008_005@scene_cam_00_pre,2xlarge,ai_008_005@scene_cam_00_final,9xlarge,Restaurant,,
ai_008_005_cam_01,ai_008_005@scene_cam_01_geometry,large,ai_008_005@scene_cam_01_pre,2xlarge,ai_008_005@scene_cam_01_final,9xlarge,Restaurant,,
ai_008_006_cam_00,ai_008_006@scene_cam_00_geometry,large,ai_008_006@scene_cam_00_pre,2xlarge,ai_008_006@scene_cam_00_final,9xlarge,Office (waiting area),,
ai_008_006_cam_01,ai_008_006@scene_cam_01_geometry,large,ai_008_006@scene_cam_01_pre,2xlarge,ai_008_006@scene_cam_01_final,9xlarge,Office (waiting area),,
ai_008_007_cam_00,ai_008_007@scene_cam_00_geometry,large,ai_008_007@scene_cam_00_pre,2xlarge,ai_008_007@scene_cam_00_final,9xlarge,Office,,
ai_008_007_cam_01,ai_008_007@scene_cam_01_geometry,large,ai_008_007@scene_cam_01_pre,2xlarge,ai_008_007@scene_cam_01_final,9xlarge,Office,,
ai_008_008_cam_00,ai_008_008@scene_cam_00_geometry,large,ai_008_008@scene_cam_00_pre,2xlarge,ai_008_008@scene_cam_00_final,9xlarge,Living room,,
ai_008_008_cam_01,ai_008_008@scene_cam_01_geometry,large,ai_008_008@scene_cam_01_pre,2xlarge,ai_008_008@scene_cam_01_final,9xlarge,Living room,,
ai_008_009_cam_00,ai_008_009@scene_cam_00_geometry,large,ai_008_009@scene_cam_00_pre,2xlarge,ai_008_009@scene_cam_00_final,9xlarge,Kitchen,,
ai_008_010_cam_00,ai_008_010@scene_cam_00_geometry,large,ai_008_010@scene_cam_00_pre,2xlarge,ai_008_010@scene_cam_00_final,9xlarge,Living room,,
ai_009_001_cam_00,ai_009_001@scene_cam_00_geometry,large,ai_009_001@scene_cam_00_pre,2xlarge,ai_009_001@scene_cam_00_final,9xlarge,Courtyard,,
ai_009_002_cam_00,ai_009_002@scene_cam_00_geometry,large,ai_009_002@scene_cam_00_pre,2xlarge,ai_009_002@scene_cam_00_final,9xlarge,Retail space,,
ai_009_003_cam_00,ai_009_003@scene_cam_00_geometry,large,ai_009_003@scene_cam_00_pre,2xlarge,ai_009_003@scene_cam_00_final,9xlarge,Other,Classroom,
ai_009_004_cam_00,ai_009_004@scene_cam_00_geometry,large,ai_009_004@scene_cam_00_pre,2xlarge,ai_009_004@scene_cam_00_final,9xlarge,Other,Retail space (weird),
ai_009_005_cam_00,ai_009_005@scene_cam_00_geometry,large,ai_009_005@scene_cam_00_pre,2xlarge,ai_009_005@scene_cam_00_final,9xlarge,Retail space,,
ai_009_005_cam_01,ai_009_005@scene_cam_01_geometry,large,ai_009_005@scene_cam_01_pre,2xlarge,ai_009_005@scene_cam_01_final,9xlarge,Retail space,,
ai_009_006_cam_00,ai_009_006@scene_cam_00_geometry,large,ai_009_006@scene_cam_00_pre,2xlarge,ai_009_006@scene_cam_00_final,9xlarge,Staircase,,
ai_009_007_cam_00,ai_009_007@scene_cam_00_geometry,large,ai_009_007@scene_cam_00_pre,2xlarge,ai_009_007@scene_cam_00_final,9xlarge,Staircase,,
ai_009_008_cam_00,ai_009_008@scene_cam_00_geometry,large,ai_009_008@scene_cam_00_pre,2xlarge,ai_009_008@scene_cam_00_final,9xlarge,Living room,,
ai_009_009_cam_00,ai_009_009@scene_cam_00_geometry,large,ai_009_009@scene_cam_00_pre,2xlarge,ai_009_009@scene_cam_00_final,9xlarge,Office (building foyer),,
ai_010_001_cam_00,ai_010_001@scene_cam_00_geometry,large,ai_010_001@scene_cam_00_pre,2xlarge,ai_010_001@scene_cam_00_final,9xlarge,Bedroom,,
ai_010_002_cam_00,ai_010_002@scene_cam_00_geometry,large,ai_010_002@scene_cam_00_pre,2xlarge,ai_010_002@scene_cam_00_final,9xlarge,Bedroom,,
ai_010_002_cam_01,ai_010_002@scene_cam_01_geometry,large,ai_010_002@scene_cam_01_pre,2xlarge,ai_010_002@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_010_003_cam_00,ai_010_003@scene_cam_00_geometry,large,ai_010_003@scene_cam_00_pre,2xlarge,ai_010_003@scene_cam_00_final,9xlarge,Restaurant,,
ai_010_003_cam_01,ai_010_003@scene_cam_01_geometry,large,ai_010_003@scene_cam_01_pre,2xlarge,ai_010_003@scene_cam_01_final,9xlarge,Restaurant,,
ai_010_004_cam_00,ai_010_004@scene_cam_00_geometry,large,ai_010_004@scene_cam_00_pre,2xlarge,ai_010_004@scene_cam_00_final,9xlarge,Living room,,
ai_010_004_cam_01,ai_010_004@scene_cam_01_geometry,large,ai_010_004@scene_cam_01_pre,2xlarge,ai_010_004@scene_cam_01_final,9xlarge,OUTSIDE VIEWING AREA (BAD INITIALIZATION),,
ai_010_005_cam_00,ai_010_005@scene_cam_00_geometry,large,ai_010_005@scene_cam_00_pre,2xlarge,ai_010_005@scene_cam_00_final,9xlarge,Bedroom,,
ai_010_006_cam_00,ai_010_006@scene_cam_00_geometry,large,ai_010_006@scene_cam_00_pre,2xlarge,ai_010_006@scene_cam_00_final,9xlarge,Bathroom,,
ai_010_007_cam_00,ai_010_007@scene_cam_00_geometry,large,ai_010_007@scene_cam_00_pre,2xlarge,ai_010_007@scene_cam_00_final,9xlarge,Living room,,
